PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Std Dev Modifier,IC50 Std Dev,IC50 Hill Slope,IC50 NormChi2,% Inhibition @ 100 uM,% Inhibition @ 50 uM,% Inhibition @ 25 uM,% Inhibition @ 12.5 uM,% Inhibition @ 6.25 uM,% Inhibition @ 3.13 uM,% Inhibition @ 1.56 uM,% Inhibition @ 0.78 uM,% Inhibition @ 0.39 uM,% Inhibition @ 0.19 uM,Primary Outcome,Primary Screen % Inhibition @ 25 uM,Pilot 10K Screen % Inhibition @ 25 uM Rep 1,Pilot 10K Screen % Inhibition @ 25 uM Rep 2,Verification
RESULT_TYPE,,,,,,,STRING,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,STRING
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,100,50,25,12.5,6.25,3.13,1.56,0.78,0.39,0.19,,,,,
1,844852,647185,Active,65,,,,38.74,,2.75,1.44,4.06,83.13,53,39.27,17.53,2.76,0,2.85,6.28,0,0,Active,43.98,15.15,17.03,verified
2,847157,135417048,Active,58,,,,56.9,,6.78,1.28,5.84,59.07,56.46,26.21,6.31,0,7.04,0,0,0,0,Active,64.65,,,verified
3,848021,650445,Active,57,,,,59.2,,5.13,1.17,3.9,61.74,46.82,32.25,9.12,3.45,0,4.99,0.7,0,4.8,Active,34.69,,,verified
4,848195,650622,Active,71,,,,23.63,,5.03,1.82,14.06,59.13,86.31,66.82,14.02,0,0,0,0,0,0,Active,80.99,,,verified
5,850760,653299,Active,43,,,,95.27,,4.45,3.22,3.94,54.38,8.82,9.13,5.61,3.45,0,0,3.49,2.03,0,Active,29.34,,,verified
6,852322,654937,Active,64,,,,40.79,,6.93,1.2,8.54,84.73,47.16,30,30.43,7.6,4.23,0,6.28,3.38,14.4,Active,46.43,3.66,4.82,verified
7,853098,135401871,Active,60,,,,51.76,,5.09,1.89,6.46,70.34,57.88,14.75,2.1,0,10.57,2.14,2.09,5.41,0,Active,38.55,,,verified
8,856108,657484,Active,59,,,,53.91,,10.02,1,7.55,63.24,53.27,30.28,16.13,3.45,9.16,4.28,12.56,11.5,10.97,Active,46.73,,,verified
9,856201,657576,Active,41,,,>,100,,49.76,0.56,2.63,39.14,30.54,22.48,14.73,6.91,11.98,7.84,2.79,3.38,4.8,Active,33.87,,,verified
10,856503,657862,Active,45,,,,88.67,,7.23,1.77,4.2,56.2,25.11,9.84,2.1,8.98,3.52,0,1.4,7.44,2.06,Active,60.28,,,verified
11,857425,615484,Active,74,,,,17.56,,0.67,1.69,2.41,100,85.97,62.25,36.04,15.89,5.64,4.99,0,1.35,1.37,Active,44.11,,,verified
12,858000,659347,Active,41,,,>,100,,23.77,1.55,3.15,31.72,19.68,0,0,0,4.23,0,0,0,0,Active,87.12,,,verified
13,858060,659416,Active,41,,,,99.3,,7.1,2.23,4.07,49.59,20.53,0,0,0,3.36,2.72,0,2.06,9.01,Active,46.09,,,verified
14,858195,659547,Active,41,,,>,100,,23.63,1.4,8.38,42.27,43.02,0,0,1.38,0,7.13,1.4,5.41,0,Active,55.62,,,verified
15,858892,660197,Active,41,,,>,100,,7.94,1.97,2.1,38.66,13.45,4.23,0,3.74,4.71,0,0,0.69,0,Active,45.17,,,verified
16,859770,3053058,Active,46,,,,86.84,,3.02,3.59,3.21,62.39,12.21,0,4.91,0,0,4.28,6.28,0,0,Active,75.9,,,verified
17,860234,5293426,Active,41,,,>,100,,408.24,0.56,4.09,30,16.29,11.28,11.04,3.74,8.74,4.08,2.04,1.38,9.7,Active,76.54,,,verified
18,860819,662098,Active,67,,,,34.75,,6.58,0.93,8.13,64.08,58.36,58.67,23.84,8.98,3.52,5.7,5.58,4.73,8.23,Active,64.87,,,verified
19,860888,662161,Active,56,,,,61.96,,10.02,1.22,7.38,52.75,58.22,25.71,5.61,0,0,0,0,0,0,Active,48.03,,,verified
20,861865,663095,Active,44,,,,91.92,,3.44,3.78,3.64,57.96,8.82,1.41,7.01,4.84,2.82,1.43,4.88,0,0,Active,31.75,,,verified
21,862769,664003,Active,53,,,,69.74,,4.72,1.61,3.71,60.24,44.17,10.54,5.61,0,0,0,0,2.71,0,Active,32.68,,,verified
22,3713011,236275,Active,41,,,>,100,,2.28,1.97,0.78,42.6,15.58,4.94,1.38,0,0,2.04,0.68,0,0,Active,87.1,,,verified
23,3714579,712660,Active,45,,,,90.8,,1.1,3,0.99,57.06,14.87,0,2.07,0,0,0,0,0,0,Active,53.21,,,verified
24,3716567,2123860,Active,71,,,,23.21,,2.6,1.76,7.29,100,81.5,47.07,27.28,12.43,2.82,4.28,10.46,8.12,11.66,Active,44.96,,,verified
25,3716687,2335498,Active,41,,,>,100,,136.26,0.42,7.61,33.02,33.93,42.3,32.33,19.34,9.16,12.83,2.09,0,5.49,Active,34.24,,,verified
26,4248049,1203912,Active,70,,,,26.28,,3.68,1.62,8.67,100,78.92,34.08,26.3,17.27,10.57,3.56,9.07,6.09,4.8,Active,94.32,,,verified
27,4249298,3243271,Active,60,,,,51.5,,8.03,1.45,8.61,70.6,55.57,16.16,15.43,6.91,0,9.98,9.77,14.2,6.86,Active,29.15,,,verified
28,4249431,3243386,Active,61,,,,50.21,,5.54,1.42,6.04,65.93,59.9,22.57,10.35,0,8.07,2.04,3.4,6.88,1.39,Active,43.07,,,verified
29,4254663,607541,Active,41,,,>,100,,17.35,1.55,2.69,36,13.45,7.76,2.07,1.02,6.05,3.4,0,0,2.08,Active,63.57,,,verified
30,4254995,2190715,Active,76,,,,12.08,,1.12,2.09,6.55,100,95.68,73.35,62.53,9.85,8.74,4.76,0,0,4.85,Active,33.65,,,verified
31,4257607,2960521,Active,66,,,,37.65,,1.87,5.22,4.44,88.52,82.35,9.87,0,0,0,6.12,0,0,0.69,Active,29.98,,,verified
32,4259468,833970,Active,41,,,>,100,,34.67,0.64,5.1,40.9,40.44,33.09,16.13,8.29,3.52,5.7,6.28,0,8.23,Active,76.64,,,verified
33,4261050,1301485,Active,62,,,,46.31,,0.86,3.86,1.85,92.08,58.56,6.32,2.8,0,0,0,0,2.71,0,Active,48.95,,,verified
34,4262063,1245049,Active,41,,,>,100,,19.46,1.58,3.03,33.21,21.04,0,0,0,0,0,0,0,0,Active,41.77,,,verified
35,4262547,833988,Active,44,,,,92.46,,23.13,0.68,5.68,46.73,41.78,33.22,17.94,24.79,3.36,0,0,0,0,Active,69.61,,,verified
36,4263049,1236972,Active,45,,,,89.04,,10.13,2.08,6.76,56.53,23.07,1.41,12.62,7.6,2.11,0.71,2.09,8.79,8.91,Active,36.85,-5.51,-4.22,verified
37,7973560,1379075,Active,73,,,,18.06,,1.29,2.58,5.6,100,85.18,76.73,20.7,14.6,0.67,0,3.4,0,0.69,Active,71.33,,,verified
38,7974892,2193708,Active,47,,,,84.48,,10,2.56,8.67,61.67,18.32,5.62,10.52,8.98,11.27,7.84,11.16,0.68,10.29,Active,56.61,7.28,33.88,verified
39,7975956,1180676,Active,74,,,,16.89,,2.2,1.73,8.4,78.87,93.03,70.26,33.59,14.51,2.82,9.98,4.88,1.35,10.97,Active,56.21,,,verified
40,7977248,684123,Active,71,,,,23.17,,1.99,2.62,6.83,88.01,81.77,62.6,9.82,0,1.41,4.99,7.67,6.09,0,Active,61.95,,,verified
41,7977895,779063,Active,75,,,,13.62,,2.13,1.92,10.62,82.7,78.78,81.36,54.91,6.91,0.7,3.56,11.16,0,10.29,Active,78.12,,,verified
42,7977906,135449270,Active,77,,,,9.6,,3.18,7.31,21.86,38.68,100,100,87.3,4.14,0.7,6.42,2.09,4.06,0,Active,69.45,,,verified
43,7977913,796318,Active,71,,,,23.27,,4.34,1.46,11.01,73.79,67.52,74.05,25.24,0,0,0,0,0,0,Active,73.82,,,verified
44,7978004,5310910,Active,41,,,>,100,,0.9,2.91,0.53,44.68,10.18,0,0,0,0,0,0,0,0,Active,44.86,,,verified
45,7978315,779239,Active,54,,,,66.86,,12.56,1.3,8.8,52.73,59.41,10.58,5.52,8.49,0,0,0,0,0,Active,31.6,,,verified
46,7978324,879979,Active,46,,,,86.72,,9.96,1.34,4.73,54.51,34.4,12.65,4.21,8.29,2.11,4.99,6.28,4.73,6.86,Active,91.35,,,verified
47,14719313,21672,Active,64,,,,42.03,,3.16,2.55,5.87,78.93,69.35,14.75,4.91,0,0,0,6.28,0,0,Active,37.08,,,verified
48,14720588,135464623,Active,63,,,,43.38,,0.71,4.6,1.63,99.58,65.48,7.73,1.4,4.14,0,0,0,0,0,Active,66.02,,,verified
49,14720771,5440971,Active,76,,,,10.13,,0.72,1.73,4.6,100,93.64,87.19,57.22,26.73,13.38,9.98,6.98,7.44,2.06,Active,28.61,,,verified
50,14724980,720237,Active,73,,,,18.66,,1.55,2.4,6.3,85.49,92.89,69.27,25.24,6.91,3.52,2.85,8.37,4.73,6.17,Active,81.36,,,verified
51,14725262,710585,Active,65,,,,40.45,,2.63,2.73,5.25,84,69.76,16.16,7.01,0,6.34,0,0.7,6.76,0,Active,84.74,,,verified
52,14727109,3157644,Active,54,,,,67.66,,4.84,2.45,5.32,71.18,35.01,0.7,11.22,2.76,0.7,7.13,3.49,0,1.37,Active,82.16,,,verified
53,14727415,826220,Active,57,,,,60.29,,0.36,3.22,0.51,83.86,35.05,6.35,0,1.02,0,0,0,0,0,Active,31.69,,,verified
54,14727639,1051569,Active,66,,,,36.46,,2.96,4.19,7.42,86.26,81.56,14.75,7.01,10.36,6.34,0,4.88,7.44,4.11,Active,49.76,,,verified
55,14727718,6552077,Active,44,,,,92.39,,14.29,0.96,4.57,48.39,37.17,31.1,6.9,4.42,0,0,4.76,0,0,Active,56.88,,,verified
56,14728116,135431516,Active,56,,,,62.38,,3.56,4.56,5.33,91.29,25.11,11.94,0.7,6.91,3.52,7.13,1.4,0,0,Active,48.95,,,verified
57,14728350,135431512,Active,69,,,,28.68,,2.35,5.49,7.72,83.19,98.62,31.03,10.35,8.49,0.67,3.4,4.08,0,0,Active,87.6,,,verified
58,14728417,7303054,Active,41,,,>,100,,36.22,0.6,4.04,40.51,34.06,31.26,22.44,13.82,3.52,2.85,0.7,0,4.8,Active,36.3,,,verified
59,14729348,54676300,Active,50,,,,77.17,,5.04,1.89,3.89,64.86,25.79,11.24,11.22,5.53,0.7,1.43,0,0,0,Active,32.06,,,verified
60,14729349,54706306,Active,53,,,,69.38,,5.24,2.57,5.77,73.33,27.82,8.43,8.41,1.38,4.93,0.71,9.07,4.06,8.91,Active,33.42,,,verified
61,14729387,1388811,Active,41,,,>,100,,124.75,0.55,6.26,40.9,22.39,33.51,13.32,4.14,6.34,7.13,8.37,8.79,2.06,Active,37.87,,,verified
62,14730183,3258072,Active,53,,,,69.38,,12.51,0.92,6.13,55.16,49.33,28.74,9.12,5.53,11.27,5.7,6.98,3.38,9.6,Active,35.94,,,verified
63,14730378,1948690,Active,64,,,,40.59,,3.07,2.99,6.37,79.65,72.54,13.35,3.51,0,6.34,0,0.7,0,0,Active,41.42,,,verified
64,14730436,3478042,Active,41,,,>,100,,14.79,1.51,4.89,49.76,17.64,9.84,10.52,6.22,2.82,0,6.98,0,4.8,Active,32.53,,,verified
65,14730529,135469402,Active,69,,,,30.19,,1.74,2.51,4.47,87.72,78.37,42.23,2.8,0.69,6.34,0,0,0,0.69,Active,80.55,,,verified
66,14731004,135476819,Active,58,,,,56.94,,3.95,1.81,4.37,67.67,52.18,14.75,0.7,2.07,1.41,0,3.49,0,0,Active,76.46,,,verified
67,14731556,762708,Active,51,,,,73.93,,9.62,1.53,6.63,55.55,46.55,9.84,0,2.07,4.93,1.43,9.77,0,2.74,Active,81.38,,,verified
68,14732519,1736341,Active,59,,,,55,,4.17,1.6,4.43,73.19,47.37,15.52,17.25,0,6.05,0,1.36,0,0,Active,39.52,,,verified
69,14732615,805519,Active,51,,,,75.69,,16.38,1.04,7.83,48.53,51.19,28.92,0,4.42,2.02,8.16,0.68,4.13,3.46,Active,67.13,,,verified
70,14733415,9550487,Active,56,,,,60.82,,8.85,0.93,5.31,65,39.9,35.97,14.02,6.22,10.57,6.42,8.37,1.35,6.17,Active,40.38,,,verified
71,14736164,1895639,Active,48,,,,82.29,,5.02,1.41,2.72,54.31,38.14,12.65,6.31,0,0,3.56,0.7,0,0,Active,30.75,,,verified
72,14736463,2200666,Active,56,,,,61.95,,23.35,1.33,18.51,39.86,83.8,6.32,0,0,0,0,0,0,0,Active,45.03,3.06,4.22,verified
73,14736518,1186143,Active,61,,,,48.53,,3.73,1.7,4.76,71.18,58.76,22.48,2.8,5.53,1.41,2.85,1.4,5.41,0,Active,36.22,,,verified
74,14736777,755636,Active,46,,,,86.4,,15.41,0.9,5.26,46.69,43.77,30.21,16.13,0,0,0.71,1.4,4.06,0,Active,121.26,,,verified
75,14736784,2057305,Active,75,,,,12.9,,2.19,1.35,9.65,77.69,85.63,81.99,40.11,38.62,3.52,0,0,6.09,0,Active,29.03,,,verified
76,14737256,6323709,Active,73,,,,18.38,,2.57,1.62,8.71,100,92.96,45.42,46.65,11.89,4.71,1.36,6.8,3.44,1.39,Active,32.55,,,verified
77,14737410,691731,Active,41,,,>,100,,11.85,1.46,2.71,41.09,21.71,7.03,2.8,2.07,0,1.43,6.98,0,2.06,Active,33.93,,,verified
78,14738410,3648794,Active,50,,,,77,,4.64,2.17,4.01,64.8,26.46,8.43,4.91,5.53,2.82,6.42,3.49,5.41,0,Active,41.25,,,verified
79,14738610,9551500,Active,64,,,,41.46,,12.67,0.84,11.68,45.46,73.22,48.69,22.44,15.89,1.41,0,4.88,0,0,Active,43.24,,,verified
80,14738617,5076888,Active,57,,,,59.12,,8.48,0.87,4.99,56.06,49.63,40.2,11.73,15.28,6.72,2.04,0,0.69,0,Active,83.7,,,verified
81,14739307,2872337,Active,41,,,>,100,,2.58,3.6,1.54,41.16,4.75,4.22,0,0,0,0,2.09,0,0,Active,35.58,,,verified
82,14739510,2951253,Active,57,,,,59.54,,1.37,2.67,1.82,78.41,40.58,6.32,0.7,0,0,0,3.49,0,0,Active,31.91,,,verified
83,14740165,135457712,Active,62,,,,45.79,,2.71,2.76,4.84,80.1,63.24,9.13,2.8,0,0,0,0,0,0,Active,31.55,,,verified
84,14740576,1365179,Active,63,,,,44.16,,1.24,2.78,2.31,90.71,58.15,18.27,0,0.69,0,5.7,0,0,0,Active,72.26,,,verified
85,14740988,1910825,Active,63,,,,44.08,,1.98,2.14,3.2,80.12,60.19,23.98,0,0,0,0,0,0,0,Active,40.53,,,verified
86,14741253,6175779,Active,69,,,,30.37,,3.04,2.18,7.24,100,75.86,34.08,15.43,12.43,8.45,7.84,7.67,0,8.23,Active,37.48,,,verified
87,14741966,3816369,Active,61,,,,48.43,,2.97,1.52,3.53,75.48,52.45,22.48,16.83,0,5.64,4.28,0,0,0,Active,71.15,,,verified
88,14742019,6413218,Active,42,,,,96.32,,3.48,1.53,1.52,50.33,29.38,9.87,2.07,1.7,1.34,2.04,0,0,0,Active,77.03,,,verified
89,14742137,915860,Active,46,,,,86.35,,6.76,2.03,4.65,55.42,29.86,1.41,0,1.38,0,2.85,9.07,0,3.43,Active,31.08,,,verified
90,14742276,3557499,Active,41,,,>,100,,4.65,2.61,3,49.99,12.04,4.94,7.59,0,0,0,3.4,0,0,Active,95.51,,,verified
91,14742395,2941133,Active,55,,,,64.7,,8.62,1.25,6.09,60.44,48.65,20.37,2.8,10.36,10.57,0,4.88,4.06,5.49,Active,69.9,,,verified
92,14743296,713405,Active,50,,,,77.96,,15.32,1.12,7.44,48.86,52.54,15.52,8.97,2.38,0,4.08,0,9.63,1.39,Active,73.37,,,verified
93,14743519,9551863,Active,48,,,,83.44,,6.55,1.42,3.5,52.59,39.44,13.4,0.69,2.38,0,0,0,0,0,Active,30.51,,,verified
94,14745068,705876,Active,41,,,>,100,,5.72,3.41,4.6,48.46,6.37,7.76,4.14,8.49,0,0.68,5.44,0,0,Active,39.19,,,verified
95,14745573,135512407,Active,72,,,,21.35,,1.83,1.47,5.09,78.87,82.51,57.47,32.68,12.43,0,0,0,0,1.37,Active,78.32,74.79,58.39,verified
96,14745671,135512411,Active,75,,,,13.86,,0.95,1.37,3.92,85.89,85.63,73.7,43.69,28.32,7.04,4.28,2.79,2.03,0,Active,77.82,,,verified
97,14745913,6262269,Active,64,,,,40.8,,7.24,1.48,10.25,62.78,68.74,42.58,0,0,0,0,2.09,4.73,8.23,Active,47.18,,,verified
98,14746342,135470621,Active,45,,,,88.97,,3.3,2.14,2.26,56.14,23.07,4.22,3.51,3.45,0,0,0,0,4.8,Active,61.31,21.84,22.89,verified
99,14746348,2266898,Active,72,,,,21.19,,2.91,1.25,7.47,81.45,69.82,59.86,45.93,4.14,6.34,0,0,4.06,2.74,Active,76.81,,,verified
100,14746374,135500895,Active,67,,,,34.83,,2.47,2.16,5.1,79.71,75.39,32.39,4.21,4.84,0,0,1.4,0,0.69,Active,72.66,,,verified
101,14746375,135512424,Active,45,,,,88.63,,0.57,3.3,0.56,59.72,13.57,0,0,0,0,0,0,0,0,Active,63.06,,,verified
102,14746945,6892851,Active,41,,,>,100,,11.19,2.09,3.11,38.03,13.57,0,3.51,4.14,4.93,0,1.4,0,4.11,Active,29.88,,,verified
103,16953056,135501965,Active,41,,,>,100,,49.58,0.63,8.84,50.41,47.97,13.35,16.83,15.2,4.93,7.84,13.95,10.15,12.34,Active,69.67,20.61,3.04,verified
104,17385653,135490251,Active,74,,,,17.45,,5.05,0.75,10.5,,51.3,66.11,57.99,32.47,14.79,4.28,10.46,2.03,7.54,Active,52.11,72.69,70.88,verified
105,17385677,135435708,Active,66,,,,37.53,,3,4.51,7.35,79.65,81.16,11.94,0,3.45,6.34,1.43,0,0,0,Active,66.37,,,verified
106,17385876,135407553,Active,61,,,,49.96,,2.64,1.82,3.4,74.18,52.66,25.36,0,0,0,0,0,0,0,Active,58.68,,,verified
107,17386022,4749176,Active,56,,,,61.04,,2.55,2.54,3.22,78.87,35.96,11.94,0,2.76,3.52,0,2.09,0,6.86,Active,35.84,,,verified
108,17386178,4178486,Active,41,,,>,100,,17.39,1.81,5.93,44.55,16.96,7.73,1.4,0,3.52,6.42,7.67,5.41,11.66,Active,39.92,,,verified
109,17386358,901348,Active,77,,,,8.26,,1.75,1.32,11.94,76.59,82.31,78.27,71.88,54.23,4.23,7.13,0,0,8.91,Active,88.13,,,verified
110,17386564,4523283,Active,57,,,,60.08,,4.64,2.05,5.25,67.4,50.55,6.32,0,0,0,0,1.4,0,0,Active,30.58,,,verified
111,17386615,3416015,Active,69,,,,29.61,,1.66,1.86,3.72,82.64,76.34,43.7,14.73,2.76,0,0,1.4,0.68,4.11,Active,53.56,,,verified
112,17386670,849563,Active,41,,,>,100,,116.03,0.58,2.25,31,20.36,16.16,14.73,8.98,4.23,0,4.88,0,1.37,Active,36.44,,,verified
113,17387198,3272728,Active,42,,,,97.81,,1.32,2.84,0.99,51.45,13.57,0,2.1,0,0,0,0,0,0,Active,28.64,,,verified
114,17387486,49849259,Active,53,,,,70.64,,13.46,1.03,7.08,62.53,38.8,21.86,8.97,25.47,0,0,0,0,0,Active,38.77,,,verified
115,17388127,135406171,Active,60,,,,52.96,,8.17,1.18,7.22,70.01,47.57,25.64,20.34,2.76,4.23,4.28,6.28,10.82,14.4,Active,45.01,,,verified
116,17388531,4151814,Active,63,,,,43.46,,2.48,3.4,5.17,96.26,61.41,11.94,9.82,2.07,3.52,4.99,9.77,1.35,0,Active,37.76,,,verified
117,17388601,11837938,Active,59,,,,55.52,,2.21,2,2.69,72.81,49.13,15.46,0,0.69,0,0,0,0,0,Active,53.52,,,verified
118,17401238,3567502,Active,56,,,,62.68,,5.74,1.94,5.96,73.85,36.24,14.05,6.31,9.67,8.45,4.99,0,8.79,4.8,Inactive,28.49,,,verified
119,17401434,3437919,Active,69,,,,29.4,,2.81,1.06,4.59,79.71,59.17,46.16,34.71,18.65,0,0,2.79,4.73,0,Active,53.08,,,verified
120,17401490,752209,Active,77,,,,10.12,,3.37,1.13,17.28,80.98,51.71,85.36,75.52,46.08,2.82,0.71,0,0,0,Active,29.09,,,verified
121,17401670,135510943,Active,61,,,,48.54,,4.73,1.54,5.67,70.53,52.25,36.11,0,0,0,0,0,0,0,Active,55.89,,,verified
122,17401726,2030972,Active,41,,,>,100,,621.07,0.51,9.07,29.7,14.93,21.78,34.36,4.84,0,0,0,0,0,Active,34.83,,,verified
123,17401857,11957180,Active,71,,,,23.05,,1.62,3.02,6.04,86.96,100,51.99,17.53,0,6.34,0,0.7,0,0,Active,34.2,,,verified
124,17401925,11957209,Active,41,,,>,100,,164.7,0.72,7.88,27.42,29.18,32.25,0,0,3.52,0,0,2.03,0.69,Active,29.43,,,verified
125,17402029,11957260,Active,51,,,,75.85,,1.56,5.15,1.85,80.69,10.18,4.22,0,0,0,2.14,0,0,2.74,Active,48.67,,,verified
126,17402450,2767802,Active,64,,,,41.52,,2.78,2.27,4.93,78.09,67.52,22.48,0,0,0,0,1.4,0,0.69,Active,37.71,,,verified
127,17402739,1481943,Active,70,,,,26.04,,5.65,1,10.17,71.66,61.88,69.19,22.77,15.96,6.05,1.36,17,2.06,1.39,Active,93.77,,,verified
128,17403156,3099944,Active,61,,,,48.82,,4.33,1.37,4.76,65.46,60.19,26.8,8.28,7.81,0,0,0,0,0,Active,56.11,,,verified
129,17403317,3124999,Active,59,,,,55.36,,2.68,1.69,2.93,69.66,49.63,21.16,2.07,3.06,0,0,1.36,1.38,2.77,Active,36.01,,,verified
130,17403545,2827236,Active,57,,,,59.98,,12.12,0.84,6.78,50.34,51.84,39.77,27.63,6.22,0,0,0,0,0,Active,39.58,,,verified
131,17406735,6412256,Active,71,,,,24.95,,4.44,1.96,12.19,67.86,100,41.17,23.84,4.84,0,0,2.09,0,0,Active,64.32,,,verified
132,17407033,5879932,Active,70,,,,26.26,,2.8,2.81,8.85,76.59,84.28,53.75,0,0,0,0,0,0,0,Active,36,,,verified
133,17407042,6415055,Active,62,,,,46.2,,6.2,1.13,6.33,67.86,47.02,46.79,17.53,0.69,0,0,0,0,0,Active,57.19,,,verified
134,17407349,6416317,Active,68,,,,30.83,,7.62,1.15,12.48,100,39.56,48.13,34.22,8.98,9.86,0,6.28,1.35,10.29,Active,63.99,,,verified
135,17407445,11958668,Active,61,,,,49.63,,1.57,3.78,3.18,92.19,51.33,5.64,1.38,3.74,0,4.08,6.8,0,0,Active,32.08,,,verified
136,17407909,3096032,Active,61,,,,48.69,,3.51,2.86,6.03,99.45,43.83,19.75,9.66,2.38,0,0,0,0,0,Active,52.52,,,verified
137,17408731,1078765,Active,62,,,,46.42,,6.76,0.92,5.83,62.32,52.05,47.99,14.02,13.13,4.23,3.56,5.58,3.38,0,Active,49.52,,,verified
138,17409104,5817814,Active,41,,,>,100,,16.17,1.55,4.55,40.38,29.86,0,0.7,0,0,0,0,0,0,Active,29.03,,,verified
139,17409894,3784685,Active,60,,,,51.85,,5.28,1.62,6.05,64.86,58.97,23.89,0,0,0,0,0,0,0,Active,34.53,,,verified
140,17411059,1488444,Active,64,,,,41.64,,6.84,1.3,8.73,59.46,71.11,37.52,10.52,1.38,0,0,0.7,0.68,0,Active,46.6,,,verified
141,17412339,867609,Active,56,,,,62.78,,8.47,1.48,7.17,56.98,56.73,14.05,3.51,0,0,0,4.19,0,0,Active,51.34,,,verified
142,17413269,2831098,Active,41,,,>,100,,55.4,0.87,4.4,36.6,25.79,8.43,14.02,0,7.04,0,6.98,0,0,Active,38.76,,,verified
143,17413976,2185437,Active,41,,,>,100,,30.83,0.98,2.46,32,26.2,11.28,6.21,0,0,0,0,0,0,Active,42.07,,,verified
144,17414214,1381187,Active,59,,,,55.27,,4.18,1.88,4.92,69.62,53.67,11.94,4.91,0.69,0,6.42,2.09,2.03,0,Active,29.8,,,verified
145,17414275,2936322,Active,41,,,>,100,,56.63,0.81,10.71,59.79,24.43,7.73,14.02,15.89,7.75,17.82,13.26,0,6.86,Active,54.11,,,verified
146,17414308,1582613,Active,50,,,,76.25,,8.91,1.23,4.86,62.06,31.21,18.97,20.34,0,0,0,0,0,0,Active,48.7,,,verified
147,17414776,2181475,Active,59,,,,55.35,,2.26,2.07,2.82,74.26,49.21,11.99,3.45,5.09,0,0,0,0,0,Active,41.76,13.96,52.81,verified
148,17414807,1294819,Active,58,,,,56.53,,4.25,2.78,6.14,89.66,34.34,17.63,8.28,5.09,0.67,0,8.16,0,0,Active,53.75,6.07,5.8,verified
149,17414888,1295868,Active,60,,,,52.03,,3.2,2.72,4.98,79.32,53.47,4.92,0,6.22,0,5.7,0.7,0,0,Active,28.61,11.53,39.38,verified
150,17415233,135427779,Active,64,,,,43.02,,3.05,1.92,4.76,77.69,60.87,29.02,0,2.07,0,2.14,6.98,0,0,Active,66.8,23.78,4.82,verified
151,17415263,1619531,Active,76,,,,11.1,,1.52,1.56,8.38,100,81.83,80.87,63.04,16.58,13.38,15.68,2.09,0,10.29,Active,67.83,,,verified
152,17415376,2883762,Active,74,,,,15.87,,1.83,2.88,9.53,73.79,92.42,83.75,30.01,9.67,0,0,0,0,0,Active,49.2,,,verified
153,17415430,2247463,Active,61,,,,49.95,,2.95,1.84,3.83,76.33,52.59,20.37,5.61,4.14,0,4.28,9.07,0,0,Active,35.97,,,verified
154,17415724,2896074,Active,41,,,>,100,,72.63,0.72,5.08,31.52,32.57,23.19,16.13,0,0,0,0,0,0,Active,63.28,,,verified
155,17415961,2885461,Active,65,,,,38.83,,4.85,1.74,7.97,70.99,74.03,26.63,10.52,0,1.41,7.13,4.19,6.76,4.11,Active,64.66,,,verified
156,17416063,2884739,Active,65,,,,38.34,,5.11,1.19,6.74,67.47,65.28,34.78,30.57,0,0,0,0,0,0,Active,46,,,verified
157,17416152,1345525,Active,63,,,,44.81,,5.49,1.08,5.6,65.66,59.34,34.42,13.11,20.72,0,0,0,0,0,Active,50.81,,,verified
158,17416305,3573522,Active,62,,,,46.32,,4,0.89,3.37,63.24,51.16,40.82,26.51,13.82,4.23,0,0,0,3.43,Active,51.17,,,verified
159,17431458,3125001,Active,59,,,,55.17,,10.44,0.96,7.37,54.18,50.96,46.44,16.13,3.45,0,0,0,0,0,Active,70.66,,,verified
160,17431687,2832800,Active,72,,,,21.48,,2.75,1.09,6.42,84.6,62.97,63.3,33.38,26.6,0,6.42,1.4,0,3.43,Active,60.79,,,verified
161,17432074,3865418,Active,58,,,,55.96,,2.91,3.35,4.71,92.39,36.47,13.4,9.66,0,0,0,2.04,0,0,Active,33.48,,,verified
162,17432189,2251180,Active,70,,,,27.05,,6.67,0.97,11.3,82.52,63.99,29.23,53.15,25.63,0,0,0.7,0,0,Active,88.58,,,verified
163,17432536,135425032,Active,57,,,,59.36,,6.98,2.34,8.67,86.63,27.82,21.08,14.02,6.22,4.23,4.28,6.28,3.38,4.8,Active,31.85,,,verified
164,17432606,23675739,Active,72,,,,21.47,,1.22,3.55,5.23,87.66,97.26,63.23,11.92,4.84,0,0,7.67,0,0,Active,83.48,,,verified
